Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
AND,2008-01-01,2008-01-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2008,2008,7001,January,,0.679444338066800,X
AND,2008-02-01,2008-02-29,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2008,2008,7002,February,,0.678040527450953,X
AND,2008-03-01,2008-03-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2008,2008,7003,March,,0.644059063605937,X
AND,2008-04-01,2008-04-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2008,2008,7004,April,,0.634900479349862,X
AND,2008-05-01,2008-05-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2008,2008,7005,May,,0.642797454522080,X
AND,2008-06-01,2008-06-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2008,2008,7006,June,,0.642972615490125,X
AND,2008-07-01,2008-07-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2008,2008,7007,July,,0.634127647138289,X
AND,2008-08-01,2008-08-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2008,2008,7008,August,,0.667762645357617,X
AND,2008-09-01,2008-09-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2008,2008,7009,September,,0.695918438359024,X
AND,2008-10-01,2008-10-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2008,2008,7010,October,,0.750633142737773,X
AND,2008-11-01,2008-11-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2008,2008,7011,November,,0.785413304115958,X
AND,2008-12-01,2008-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2008,2008,7012,December,,0.743526012788624,X
AND,2009-01-01,2009-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7021,Annual value,,0.719843359785615,X
AND,2009-01-01,2009-01-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7001,January,,0.755363077852735,X
AND,2009-02-01,2009-02-28,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7002,February,,0.782184955454567,X
AND,2009-03-01,2009-03-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7003,March,,0.766294201242800,X
AND,2009-04-01,2009-04-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7004,April,,0.758132870366861,X
AND,2009-05-01,2009-05-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7005,May,,0.732576581724412,X
AND,2009-06-01,2009-06-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7006,June,,0.713447182207901,X
AND,2009-07-01,2009-07-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7007,July,,0.709839298555318,X
AND,2009-08-01,2009-08-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7008,August,,0.700869077656294,X
AND,2009-09-01,2009-09-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7009,September,,0.686736006193127,X
AND,2009-10-01,2009-10-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7010,October,,0.674929439194977,X
